date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:47:07	1120/1120	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Aug%202016%2022:17:05%20GMT	http://10.0.0.6/wordpress/wp-json/	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/wp-json/index.html	(from http://10.0.0.6/wordpress/)
03:47:08	15436/15436	---MC-	200	added ('OK')	text/html	date:Tue,%2023%20Aug%202016%2022:17:06%20GMT	http://10.0.0.6/wordpress/index.php/2016/08/23/hello-world/	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/index.php/2016/08/23/hello-world/index.html	(from http://10.0.0.6/wordpress/)
03:47:08	1059/1059	---M--	200	added ('OK')	application/javascript	etag:%22423-53a210c861980%22	http://10.0.0.6/wordpress/wp-content/themes/twentysixteen/js/skip-link-focus-fix.js?ver=20160816	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/wp-content/themes/twentysixteen/js/skip-link-focus-fix8de4.js	(from http://10.0.0.6/wordpress/)
03:47:08	11552/11552	---MC-	200	added ('OK')	text/html	date:Tue,%2023%20Aug%202016%2022:17:06%20GMT	http://10.0.0.6/wordpress/index.php/author/farmhouse4/	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/index.php/author/farmhouse4/index.html	(from http://10.0.0.6/wordpress/)
03:47:09	1403/1403	---M--	200	added ('OK')	application/javascript	etag:%2257b-53907d2dff440%22	http://10.0.0.6/wordpress/wp-includes/js/wp-embed.min.js?ver=4.6	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/wp-includes/js/wp-embed.min167b.js	(from http://10.0.0.6/wordpress/)
03:47:09	6820/6820	---M--	200	added ('OK')	application/javascript	etag:%221aa4-53a210c861980%22	http://10.0.0.6/wordpress/wp-content/themes/twentysixteen/js/functions.js?ver=20160816	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/wp-content/themes/twentysixteen/js/functions8de4.js	(from http://10.0.0.6/wordpress/)
03:47:10	11307/11307	---MC-	200	added ('OK')	text/html	date:Tue,%2023%20Aug%202016%2022:17:08%20GMT	http://10.0.0.6/wordpress/index.php/2016/08/	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/index.php/2016/08/index.html	(from http://10.0.0.6/wordpress/)
03:47:10	10434/10434	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Aug%202016%2022:17:08%20GMT	http://10.0.0.6/wordpress/index.php/category/uncategorized/	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/index.php/category/uncategorized/index.html	(from http://10.0.0.6/wordpress/)
03:47:13	22374/22374	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225766-53a210c861980%22	http://10.0.0.6/wordpress/wp-content/themes/twentysixteen/genericons/Genericons.eot	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/wp-content/themes/twentysixteen/genericons/Genericons.eot	(from http://10.0.0.6/wordpress/wp-content/themes/twentysixteen/genericons/genericons.css?ver=3.4.1)
03:47:13	76980/76980	---M--	200	added ('OK')	image/svg+xml	etag:%2212cb4-53a210c861980%22	http://10.0.0.6/wordpress/wp-content/themes/twentysixteen/genericons/Genericons.svg	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/wp-content/themes/twentysixteen/genericons/Genericons.svg	(from http://10.0.0.6/wordpress/wp-content/themes/twentysixteen/genericons/genericons.css?ver=3.4.1)
03:47:14	22188/22188	---M--	200	added ('OK')	application/x-font-ttf	etag:%2256ac-53a210c861980%22	http://10.0.0.6/wordpress/wp-content/themes/twentysixteen/genericons/Genericons.ttf	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/wp-content/themes/twentysixteen/genericons/Genericons.ttf	(from http://10.0.0.6/wordpress/wp-content/themes/twentysixteen/genericons/genericons.css?ver=3.4.1)
03:47:14	22374/22374	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225766-53a210c861980%22	http://10.0.0.6/wordpress/wp-content/themes/twentysixteen/genericons/Genericons.eot?	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/wp-content/themes/twentysixteen/genericons/Genericonsd41d.eot	(from http://10.0.0.6/wordpress/wp-content/themes/twentysixteen/genericons/genericons.css?ver=3.4.1)
03:47:16	97184/97184	---M--	200	added ('OK')	application/javascript	etag:%2217ba0-5337eac0d4540%22	http://10.0.0.6/wordpress/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/wp-includes/js/jquery/jqueryb8ff.js	(from http://10.0.0.6/wordpress/)
03:47:16	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2023%20Aug%202016%2022:17:15%20GMT	http://10.0.0.6/wordpress/xmlrpc.php	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/xmlrpc.php	(from http://10.0.0.6/wordpress/index.php/2016/08/23/hello-world/)
03:47:17	1682/1682	---M--	200	added ('OK')	application/rss+xml	etag:%222a3cf663fddc8bb8e9c85c710725a0ee%22	http://10.0.0.6/wordpress/index.php/2016/08/23/hello-world/feed/	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/index.php/2016/08/23/hello-world/feed/index.html	(from http://10.0.0.6/wordpress/index.php/2016/08/23/hello-world/)
03:47:17	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Aug%202016%2022:17:16%20GMT	http://10.0.0.6/wordpress/?p=1	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/indexcff1.html	(from http://10.0.0.6/wordpress/index.php/2016/08/23/hello-world/)
03:47:17	1186/1186	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Aug%202016%2022:17:15%20GMT	http://10.0.0.6/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2F10.0.0.6%2Fwordpress%2Findex.php%2F2016%2F08%2F23%2Fhello-world%2F	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/wp-json/oembed/1.0/embedb037	(from http://10.0.0.6/wordpress/index.php/2016/08/23/hello-world/)
03:47:18	1186/1186	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Aug%202016%2022:17:16%20GMT	http://10.0.0.6/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2F10.0.0.6%2Fwordpress%2Findex.php%2F2016%2F08%2F23%2Fhello-world%2F&format=xml	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/wp-json/oembed/1.0/embede35f	(from http://10.0.0.6/wordpress/index.php/2016/08/23/hello-world/)
03:47:18	1078/1078	---M--	200	added ('OK')	application/javascript	etag:%22436-524d577143400%22	http://10.0.0.6/wordpress/wp-includes/js/comment-reply.min.js?ver=4.6	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/wp-includes/js/comment-reply.min167b.js	(from http://10.0.0.6/wordpress/index.php/2016/08/23/hello-world/)
03:47:19	1755/1755	---M--	200	added ('OK')	application/rss+xml	etag:%222a3cf663fddc8bb8e9c85c710725a0ee%22	http://10.0.0.6/wordpress/index.php/author/farmhouse4/feed/	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/index.php/author/farmhouse4/feed/index.html	(from http://10.0.0.6/wordpress/index.php/author/farmhouse4/)
03:47:19	15512/15512	---MC-	200	added ('OK')	text/html	date:Tue,%2023%20Aug%202016%2022:17:17%20GMT	http://10.0.0.6/wordpress/index.php/2016/08/23/hello-world/?replytocom=1	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/index.php/2016/08/23/hello-world/index6809.html	(from http://10.0.0.6/wordpress/index.php/2016/08/23/hello-world/)
03:47:21	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2023%20Aug%202016%2022:17:18%20GMT	http://10.0.0.6/wordpress/wp-admin/	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/wp-admin/index.html	(from http://10.0.0.6/wordpress/wp-login.php)
03:47:21	1908/1908	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Aug%202016%2022:17:18%20GMT	http://10.0.0.6/wordpress/wp-login.php?action=lostpassword	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/wp-loginc2b6.html	(from http://10.0.0.6/wordpress/wp-login.php)
03:47:21	100642/100642	---MCZ	200	added ('OK')	text/css	etag:4.6	http://10.0.0.6/wordpress/wp-admin/load-styles.php?c=1&dir=ltr&load%5B%5D=dashicons,buttons,forms,l10n,login&ver=4.6	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/wp-admin/load-stylesca2a.css	(from http://10.0.0.6/wordpress/wp-login.php)
03:47:21	22449/22449	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2257b1-52e588fac8080%22	http://10.0.0.6/wordpress/wp-includes/fonts/dashicons.eot	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/wp-includes/fonts/dashicons.eot	(from http://10.0.0.6/wordpress/wp-admin/load-styles.php?c=1&dir=ltr&load%5B%5D=dashicons,buttons,forms,l10n,login&ver=4.6)
03:47:22	2254/2254	---M--	200	added ('OK')	image/gif	etag:%228ce-50682cd36f780%22	http://10.0.0.6/wordpress/wp-admin/images/loading.gif	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/wp-admin/images/loading.gif	(from http://10.0.0.6/wordpress/wp-admin/load-styles.php?c=1&dir=ltr&load%5B%5D=dashicons,buttons,forms,l10n,login&ver=4.6)
03:47:22	3113/3113	---M--	200	added ('OK')	image/png	etag:%22c29-4f2451f061480%22	http://10.0.0.6/wordpress/wp-admin/images/w-logo-blue.png?ver=20131202	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/wp-admin/images/w-logo-blue7a53.png	(from http://10.0.0.6/wordpress/wp-admin/load-styles.php?c=1&dir=ltr&load%5B%5D=dashicons,buttons,forms,l10n,login&ver=4.6)
03:47:22	1521/1521	---M--	200	added ('OK')	image/svg+xml	etag:%225f1-51300c013bcc0%22	http://10.0.0.6/wordpress/wp-admin/images/wordpress-logo.svg?ver=20131107	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/wp-admin/images/wordpress-logo7d6b.svg	(from http://10.0.0.6/wordpress/wp-admin/load-styles.php?c=1&dir=ltr&load%5B%5D=dashicons,buttons,forms,l10n,login&ver=4.6)
03:47:23	2254/2254	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Aug%202016%2022:17:21%20GMT	http://10.0.0.6/wordpress/wp-login.php?redirect_to=http%3A%2F%2F10.0.0.6%2Fwordpress%2Fwp-admin%2F%26reauth=1	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/wp-login26df.html	(from http://10.0.0.6/wordpress/wp-admin/)
03:47:23	1318/1318	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Aug%202016%2022:17:22%20GMT	http://10.0.0.6/wordpress/wp-admin/&reauth=1	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/wp-admin/&reauth=1	(from http://10.0.0.6/wordpress/wp-login.php?redirect_to=http%3A%2F%2F10.0.0.6%2Fwordpress%2Fwp-admin%2F%26reauth=1)
